epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6625.59,1.31394,1.206,1.35938,0.32952,0.28735,0.24418,0.10639,2.27613,2.84931,2.34015,0.00060759,0.00060759,0.00060759
43,6783.41,1.29236,1.19637,1.368,0.35331,0.2642,0.24846,0.1,2.24706,2.87165,2.31081,0.000602092,0.000602092,0.000602092
44,6938.77,1.32527,1.16914,1.36867,0.4122,0.25659,0.23035,0.09313,2.26993,2.88857,2.32397,0.000596595,0.000596595,0.000596595
45,7089.7,1.28493,1.15334,1.33164,0.41493,0.31656,0.2586,0.08667,2.31297,2.90131,2.35019,0.000591097,0.000591097,0.000591097
46,7246.37,1.26983,1.14505,1.33096,0.4148,0.30665,0.25522,0.0993,2.31905,2.81279,2.35361,0.000585599,0.000585599,0.000585599
47,7415.86,1.26176,1.13374,1.3279,0.40706,0.29027,0.24662,0.10125,2.30817,2.76563,2.40376,0.000580101,0.000580101,0.000580101
48,7585.55,1.19953,1.07071,1.28429,0.42337,0.30503,0.27077,0.10795,2.35291,2.6972,2.41474,0.000574603,0.000574603,0.000574603
49,7764.88,1.23024,1.10557,1.29053,0.50547,0.27447,0.26893,0.1115,2.31545,2.70709,2.4294,0.000569106,0.000569106,0.000569106
50,7949.96,1.25183,1.05443,1.31502,0.38494,0.3071,0.27543,0.10916,2.30686,2.80208,2.44107,0.000563608,0.000563608,0.000563608
51,8135.55,1.18554,1.05697,1.28732,0.47036,0.31148,0.2785,0.10683,2.35392,2.827,2.5036,0.00055811,0.00055811,0.00055811
52,8318.62,1.17762,1.03756,1.29263,0.43085,0.30837,0.2489,0.09603,2.29361,2.70987,2.48008,0.000552612,0.000552612,0.000552612
53,8501.36,1.1789,1.05614,1.27337,0.38474,0.33129,0.24265,0.09517,2.3139,2.68902,2.45947,0.000547114,0.000547114,0.000547114
54,8683,1.19928,1.05154,1.28877,0.43635,0.2863,0.25358,0.09994,2.31707,2.79555,2.47445,0.000541617,0.000541617,0.000541617
55,8866.88,1.14526,1.00268,1.26188,0.42442,0.31328,0.27983,0.11053,2.3178,2.80341,2.44674,0.000536119,0.000536119,0.000536119
56,9057.88,1.19898,1.02369,1.28426,0.39924,0.32232,0.25687,0.10246,2.30065,2.78861,2.43228,0.000530621,0.000530621,0.000530621
57,9230.06,1.11089,0.96078,1.23506,0.4535,0.34919,0.26916,0.11119,2.21749,2.74749,2.39484,0.000525123,0.000525123,0.000525123
58,9385.82,1.1611,1.04296,1.26966,0.49908,0.29817,0.27572,0.10925,2.30574,2.81128,2.42647,0.000519625,0.000519625,0.000519625
59,9541.98,1.19163,1.04199,1.2849,0.40683,0.30546,0.22993,0.09217,2.32956,2.79296,2.44917,0.000514128,0.000514128,0.000514128
60,9698.06,1.1724,1.01533,1.27547,0.40184,0.31376,0.261,0.10195,2.3607,2.67235,2.48525,0.00050863,0.00050863,0.00050863
61,9861.39,1.10568,0.95764,1.23335,0.45141,0.30975,0.28061,0.11482,2.32447,2.63625,2.456,0.000503132,0.000503132,0.000503132
62,10018.6,1.1055,0.96057,1.2289,0.4189,0.33099,0.25815,0.10199,2.32563,2.80389,2.4947,0.000497634,0.000497634,0.000497634
63,10174.5,1.11831,0.95603,1.23352,0.37106,0.32774,0.24404,0.10493,2.32148,2.8543,2.50541,0.000492136,0.000492136,0.000492136
64,10324.6,1.078,0.90301,1.22656,0.45017,0.29504,0.25827,0.10224,2.30942,2.80218,2.46568,0.000486639,0.000486639,0.000486639
65,10472.8,1.07909,0.96407,1.22132,0.39438,0.29245,0.25862,0.1016,2.34151,2.82725,2.48874,0.000481141,0.000481141,0.000481141
66,10619.4,1.07795,0.91645,1.21711,0.41946,0.305,0.26236,0.10252,2.33235,2.78335,2.47414,0.000475643,0.000475643,0.000475643
67,10766.4,1.0958,0.93011,1.22504,0.3962,0.31027,0.26281,0.10466,2.35435,2.81611,2.51099,0.000470145,0.000470145,0.000470145
68,10911.7,1.0973,0.92949,1.20069,0.44926,0.31468,0.27575,0.11139,2.3137,2.78466,2.46803,0.000464647,0.000464647,0.000464647
69,11059.2,1.02897,0.87691,1.18337,0.41451,0.28628,0.2704,0.10215,2.35948,2.84455,2.49352,0.00045915,0.00045915,0.00045915
70,11205.9,1.02248,0.85358,1.18283,0.34834,0.33207,0.259,0.09675,2.34184,2.83559,2.53677,0.000453652,0.000453652,0.000453652
71,11352.3,1.05045,0.88193,1.22448,0.45865,0.27961,0.26289,0.10257,2.35604,2.80655,2.54866,0.000448154,0.000448154,0.000448154
72,11500.3,1.03731,0.85676,1.20009,0.48225,0.29849,0.27376,0.11165,2.36098,2.79619,2.54256,0.000442656,0.000442656,0.000442656
