epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.0906,2.1725,4.09992,2.10583,0.00527,0.46118,0.06465,0.02432,2.30189,4.2988,2.20703,0.00010829,0.00010829,0.00010829
2,144.231,1.9802,3.80623,1.95535,0.00528,0.53744,0.07666,0.03326,2.10939,4.229,2.11661,0.000220457,0.000220457,0.000220457
3,216.708,1.92557,3.40635,1.89338,0.0065,0.55652,0.07408,0.02653,2.1771,4.15077,2.22392,0.000328005,0.000328005,0.000328005
4,289.772,1.98716,3.21924,1.9063,0.88534,0.05755,0.09633,0.04373,2.18789,3.83848,2.278,0.000430936,0.000430936,0.000430936
5,364.562,1.90008,3.02574,1.84543,0.41204,0.09853,0.11152,0.03897,2.14112,3.61178,2.14758,0.000529248,0.000529248,0.000529248
6,438.808,1.83848,2.89861,1.78611,0.31896,0.21189,0.12949,0.05484,2.04279,3.56127,2.11928,0.000622942,0.000622942,0.000622942
7,513.698,1.83241,2.80391,1.7757,0.1768,0.22936,0.15141,0.06186,2.10879,3.79186,2.21662,0.000712018,0.000712018,0.000712018
8,592.748,1.86868,2.76452,1.80524,0.40958,0.19246,0.14201,0.0566,2.20505,3.93903,2.42319,0.000717546,0.000717546,0.000717546
9,671.18,1.85603,2.73993,1.79908,0.24039,0.19226,0.15848,0.0629,2.13621,3.81611,2.38573,0.000701053,0.000701053,0.000701053
10,750.828,1.86365,2.74306,1.82617,0.38354,0.16325,0.1536,0.06289,2.19966,3.58917,2.24137,0.000684559,0.000684559,0.000684559
11,834.641,1.79144,2.6158,1.73796,0.3812,0.20498,0.17041,0.06264,2.25673,3.41038,2.29035,0.000668066,0.000668066,0.000668066
12,915.974,1.78299,2.51401,1.69737,0.1977,0.2339,0.14985,0.05647,2.25407,3.58449,2.30492,0.000651573,0.000651573,0.000651573
13,998.174,1.75705,2.50477,1.71282,0.30153,0.23934,0.1545,0.06414,2.23812,3.76344,2.25511,0.000635079,0.000635079,0.000635079
14,1080.91,1.71466,2.40863,1.67866,0.29247,0.23312,0.19061,0.07537,2.19976,3.45685,2.23984,0.000618586,0.000618586,0.000618586
15,1162.37,1.69878,2.3563,1.6371,0.43107,0.22694,0.20704,0.08134,2.14152,3.22241,2.24964,0.000602092,0.000602092,0.000602092
16,1242.7,1.68835,2.36598,1.64781,0.28492,0.25768,0.1785,0.07631,2.19739,3.11075,2.23377,0.000585599,0.000585599,0.000585599
17,1323.63,1.68025,2.2987,1.61909,0.27771,0.25387,0.20315,0.08496,2.25085,3.0983,2.18654,0.000569106,0.000569106,0.000569106
18,1404.78,1.64451,2.23122,1.61925,0.46248,0.23586,0.23082,0.09801,2.14071,3.03892,2.14971,0.000552612,0.000552612,0.000552612
19,1486.07,1.60354,2.21825,1.5822,0.36921,0.28701,0.23271,0.09331,2.11484,2.92202,2.12074,0.000536119,0.000536119,0.000536119
20,1566.44,1.64084,2.18475,1.60162,0.30537,0.30615,0.25514,0.11104,2.06437,2.92641,2.11646,0.000519625,0.000519625,0.000519625
21,1647.69,1.60131,2.10308,1.56891,0.32424,0.26188,0.23133,0.10263,2.08502,3.0624,2.16112,0.000503132,0.000503132,0.000503132
22,1730.11,1.60364,2.07798,1.586,0.37568,0.25705,0.24115,0.09563,2.08726,2.97307,2.11995,0.000486639,0.000486639,0.000486639
23,1811.54,1.55107,2.0435,1.53564,0.37905,0.25534,0.23205,0.08943,2.09086,2.92078,2.11168,0.000470145,0.000470145,0.000470145
24,1892.57,1.53425,1.9744,1.51999,0.38195,0.24583,0.2305,0.09721,2.07785,2.94452,2.09596,0.000453652,0.000453652,0.000453652
25,1973.58,1.51557,1.97655,1.51416,0.44202,0.26212,0.25024,0.10474,2.07087,2.86222,2.09664,0.000437158,0.000437158,0.000437158
26,2056.45,1.55166,1.93886,1.52213,0.37222,0.27615,0.23658,0.09885,2.06494,2.9663,2.12332,0.000420665,0.000420665,0.000420665
27,2137.62,1.52041,1.88559,1.52311,0.45678,0.27336,0.25075,0.10482,2.04898,2.91358,2.06596,0.000404172,0.000404172,0.000404172
28,2218.7,1.52897,1.87868,1.51162,0.48304,0.26755,0.27223,0.11594,2.02674,2.84149,2.04677,0.000387678,0.000387678,0.000387678
29,2300.47,1.5097,1.83486,1.50747,0.4696,0.23846,0.28228,0.12417,2.01387,2.84417,2.04856,0.000371185,0.000371185,0.000371185
30,2381.79,1.43741,1.75463,1.42874,0.36256,0.2994,0.27461,0.11537,2.09241,2.85461,2.11512,0.000354691,0.000354691,0.000354691
31,2452.14,1.48134,1.76821,1.45791,0.39879,0.31786,0.28819,0.12651,2.05615,2.82258,2.11365,0.000338198,0.000338198,0.000338198
32,2517.05,1.48893,1.72608,1.47955,0.40597,0.33404,0.30121,0.12838,1.99129,2.75136,2.06146,0.000321705,0.000321705,0.000321705
33,2580.35,1.45461,1.76748,1.46281,0.46472,0.31471,0.30749,0.12759,2.01346,2.72872,2.08094,0.000305211,0.000305211,0.000305211
34,2643.06,1.42969,1.65541,1.43609,0.5096,0.30632,0.29926,0.12495,2.03851,2.76577,2.1098,0.000288718,0.000288718,0.000288718
35,2705.63,1.38276,1.63127,1.41313,0.50766,0.30245,0.30874,0.13005,2.01574,2.74367,2.09125,0.000272224,0.000272224,0.000272224
36,2768.65,1.39937,1.62433,1.38941,0.44811,0.29914,0.28784,0.123,2.07339,2.74866,2.12566,0.000255731,0.000255731,0.000255731
37,2830.97,1.39397,1.61303,1.40515,0.41908,0.31112,0.29742,0.12663,2.06269,2.71759,2.11275,0.000239238,0.000239238,0.000239238
38,2892.78,1.37381,1.62387,1.42029,0.49168,0.30084,0.29661,0.12207,2.12236,2.70315,2.13125,0.000222744,0.000222744,0.000222744
39,2953.43,1.4067,1.58566,1.40169,0.43449,0.34417,0.28953,0.1225,2.07522,2.76243,2.10067,0.000206251,0.000206251,0.000206251
40,3014.05,1.329,1.49859,1.38827,0.41409,0.33526,0.28519,0.11874,2.10818,2.73043,2.10176,0.000189757,0.000189757,0.000189757
41,3074.53,1.45839,1.94212,1.49275,0.42587,0.32175,0.28913,0.12472,2.06122,2.69949,2.07956,0.000173264,0.000173264,0.000173264
42,3134.87,1.40189,1.82783,1.47798,0.37955,0.33181,0.29386,0.129,2.03058,2.75605,2.0996,0.000156771,0.000156771,0.000156771
43,3194.97,1.36067,1.80968,1.47129,0.4576,0.3047,0.30393,0.13265,2.03436,2.77761,2.11925,0.000140277,0.000140277,0.000140277
44,3254.89,1.3426,1.71386,1.43919,0.52822,0.31956,0.31944,0.13955,1.99375,2.68352,2.08113,0.000123784,0.000123784,0.000123784
45,3314.78,1.29861,1.62232,1.40885,0.5227,0.32515,0.32183,0.14284,1.99512,2.67716,2.07909,0.00010729,0.00010729,0.00010729
46,3374.57,1.31523,1.63207,1.41256,0.52604,0.32579,0.31569,0.1382,2.00986,2.68877,2.08865,9.0797e-05,9.0797e-05,9.0797e-05
47,3434.6,1.31918,1.61138,1.42757,0.51709,0.32687,0.32145,0.13887,2.02716,2.70233,2.10159,7.43036e-05,7.43036e-05,7.43036e-05
48,3500.83,1.25422,1.57514,1.39549,0.4915,0.3523,0.32186,0.1424,2.02842,2.71014,2.09911,5.78102e-05,5.78102e-05,5.78102e-05
49,3572.32,1.24909,1.55444,1.37844,0.4976,0.35513,0.33016,0.14398,2.04043,2.69707,2.09258,4.13168e-05,4.13168e-05,4.13168e-05
50,3637.85,1.25953,1.52972,1.37618,0.53034,0.33844,0.32434,0.14309,2.05242,2.70671,2.09162,2.48234e-05,2.48234e-05,2.48234e-05
